IG,Y_all,E_all,pm10,smoke,ethnic,log.price,easting,northing
S02000326,139,145.067541,17.3,12.6,16.83,12.06824633,25.68276039,65.91915967
S02000327,133,118.755086,17.2,17,18.3,11.6784399,25.5852092,65.94676279
S02000328,159,124.828838,16,30.8,1.75,10.88743693,25.06935195,65.98325028
S02000329,76,102.155742,15.8,27.7,0.78,11.61615872,24.9853295,65.98855356
S02000584,106,95.427027,17.25,34.1,0.62,10.71441777,25.94359791,65.80789447
S02000585,145,114.502175,17.2,46.5,4.57,9.367344121,26.0283259,65.87356183
S02000586,66,61.925942,16.3,27.4,20.82,11.91839057,25.24318524,65.90258527
S02000587,95,103.440767,16.9,42.3,4.51,11.56171563,25.40968695,65.91098447
S02000588,63,77.641715,17.7,45.6,2.6,11.12726298,26.08301622,65.94521486
S02000589,163,127.683877,17.7,36.2,1.68,11.17745273,25.99109415,65.95605225
S02000590,60,75.737136,16.5,27.4,10.08,11.42954386,25.31380991,65.97903875
S02000591,68,72.753201,17.7,22,1.68,11.79810441,25.89097358,65.98792165
S02000592,93,101.317692,17,43.9,16.6,11.08214255,25.47266726,66.0060473
S02000593,135,150.800593,18.1,18.6,10.82,11.90496755,25.78409881,66.00719778
S02000594,100,97.50831,17.3,31.5,7.85,11.11170135,25.56076283,66.02138586
S02000595,72,78.746024,18.2,23.4,3.47,11.26766411,25.97643045,66.03518518
S02000596,133,131.038916,17.5,19.6,15.25,11.43766298,25.65807465,66.0522309
S02000597,138,116.733619,16.5,42.5,0.43,10.98529272,25.30197228,66.06715009
S02000598,101,95.05158,18,18.5,17.57,11.45105006,25.75857506,66.07852602
S02000599,131,115.794885,18.1,24.9,8.51,11.3052861,25.85679988,66.07973135
S02000600,109,87.272843,18.5,23.4,7.68,11.31447453,25.95935157,66.10287407
S02000601,124,97.253535,16.6,43.9,0.3,10.95954023,25.2593306,66.11670695
S02000602,165,152.618188,17.3,36.2,43.28,11.71586631,25.50584417,66.12413752
S02000603,102,96.448875,18.4,27.2,18.72,11.44571672,25.88656707,66.1448817
S02000604,96,98.924887,18.2,26.3,21.78,11.69107165,25.74566231,66.14620033
S02000605,67,67.621135,18.2,26,36.28,11.49016848,25.73081697,66.18252718
S02000606,110,99.834134,16.8,36.1,0.65,10.91508846,25.33198806,66.19191885
S02000607,113,124.39779,18.4,30.4,38.99,11.53847625,25.82636748,66.19474966
S02000608,119,108.1764,16.5,28.7,11,11.91505167,25.18537213,66.19757795
S02000609,89,74.559228,18.9,26.6,32.04,11.56171563,25.707449,66.20367153
S02000610,217,162.569679,19.2,40.9,10.87,10.75790288,25.98998847,66.22662009
S02000611,132,111.232242,18.5,32.5,6.69,11.39357871,26.43147078,66.22977693
S02000612,125,142.976468,18.25,14.8,51.83,12.22096126,25.59744581,66.25316381
S02000613,99,95.163723,18.3,33.7,5.25,11.09437512,26.52401309,66.25662408
S02000614,100,93.912185,18.9,33.1,48.37,11.35040654,25.78527078,66.25829386
S02000615,123,106.618936,19.2,37.7,27.44,11.22524339,25.90860625,66.26213229
S02000616,93,97.574195,19,38.4,56.74,11.15625052,25.85189811,66.27644953
S02000617,110,89.792459,16.9,39.4,1.37,11.00209984,25.29815878,66.27990876
S02000618,149,111.635963,18.5,27,1.85,11.22524339,26.77576289,66.29256744
S02000619,132,124.811276,19.9,45.4,11.67,10.40426284,26.12658276,66.30609719
S02000620,172,122.766523,18.7,38,1.86,11.05089001,26.31801883,66.30655896
S02000621,192,170.008657,17.8,30.1,6.6,11.56171563,25.45077308,66.31870491
S02000622,57,66.62968,19.6,26.1,83.07,11.68266824,25.79729145,66.32545826
S02000623,115,98.159889,18.65,27.5,2.46,11.69524702,26.61968729,66.32911032
S02000624,79,110.135238,19.35,23,65.73,11.89478071,25.68591105,66.35016751
S02000625,108,97.484253,17.7,28.3,8.16,11.24504602,25.36321156,66.35235815
S02000626,143,115.781697,18.8,28.2,1.35,11.03084925,26.72032213,66.35260223
S02000627,186,173.085368,17.4,27,1.83,11.22524339,25.24137513,66.36059837
S02000628,162,136.057726,20.2,43.2,7.8,11.68729885,25.93678458,66.36466158
S02000629,112,82.762746,18.7,43.9,0,11.17043516,26.33862308,66.37745162
S02000630,111,87.150502,18.6,41,1.57,10.77436242,26.4060564,66.39553199
S02000631,110,117.927885,19.3,25.9,51.74,11.23848862,25.64297167,66.39988606
S02000632,181,136.60586,19.1,32.5,2.13,11.04292184,26.49540454,66.4008997
S02000633,165,126.904903,19.3,44.9,4.55,11.22524339,26.17258757,66.40616462
S02000634,101,102.639175,20.2,43.9,24.51,12.03469103,25.83846287,66.41206277
S02000635,184,134.647833,20.45,38.4,4.31,11.03891381,26.01910815,66.41792986
S02000636,130,111.118774,18.9,21.4,0.51,11.69524702,26.69273638,66.41856783
S02000637,144,121.666134,18.1,29.8,3.24,11.11988288,25.32070631,66.42677579
